,Datetime,Tweet Id,Text,Username,Like Count,Display Name,Language
261,2022-02-04 18:58:22+00:00,1489674709079842834,@macy197070 @tyrannyhalp @Joanieg88 Did someone honk horns all day and night in your neighborhood?  Did they build structures and have fires in your parks? Did they defecate on your lawn? Purposely depriving people of sleep and mental anguish is not a protest! Its terrorism!,JamieHo64039936,0,Jamie Hoover,en
262,2022-02-04 18:57:42+00:00,1489674543857819654,"@Dukecute11 Does it really matter ? Pain, anguish, loss et al is for the living. The dead has nothing to worry about . They are at peace with all but the living how far ?",Jack1Morrison,0,Morrison Jackrich,en
263,2022-02-04 18:57:40+00:00,1489674535616106500,"@kellyjoeray @shayleekayy I have read all the versions of the same verse when he was in the garden, none says he wept. They all use anguish and agony. Agony comes from a Greek word agonia, which is literally translated as extreme pain, last struggle of life, violent contest, etc. https://t.co/YANNRcHWax",lojianagraphix,1,GRAPHIC DESIGN,en
264,2022-02-04 18:56:42+00:00,1489674292900073482,@noshitshow1 I ask that frequently as well. So much anguish.,RayRayGlitterBg,1,Rachel McGuire,en
265,2022-02-04 18:55:52+00:00,1489674080185765889,@MissesDread I feel like I’m older than 41 sometimes. Guess it’s the past 20 years of mental anguish that did it. I’m still not okay. But I keep waking up so I guess there’s some reason for that.,NegateTheChaos,8,aka Mood Indigo,en
266,2022-02-04 18:54:48+00:00,1489673814904651779,"@CONSUMEDROYALTY @LaSalaudRoi - slipping to his chest with deep rivets as she screamed in anguish albeit words came naught. Tears fell one by one, she was ready to end 𝘣𝘰𝘵𝘩 their suffering and rid him of his 𝘩𝘦𝘢𝘳𝘵! Her hand slipping lower, hovering over the air above—

𝘐𝘵 𝘸𝘢𝘴 -",LaReineRouge_,1,𝓛𝐢𝐭𝐭𝐥𝐞 𝓡𝐞𝐝 𝓡𝐢𝐝𝐢𝐧𝐠 𝓗𝐨𝐨𝐝.,en
267,2022-02-04 18:49:52+00:00,1489672570064424962,"@aniobrien Because of ""kindness"" 🙄 if it wasn't causing so much anguish it would be hilarious, but as it stands, it's just bloody minded cruelty",AgentSmith_NZ,1,Agent Smith,en
268,2022-02-04 18:47:40+00:00,1489672016403832837,"Psa 25:16  Turn to me and Be Gracious to me, for I am lonely and afflicted.
Psa 25:17  Relieve the troubles of my heart and Free me from my anguish.
Psa 25:20  Guard my life and Rescue me; Do Not Let me be put to shame, for I take Refuge in You.",eghali84,0,Emmanuel Ghali (MaNo),en
269,2022-02-04 18:44:06+00:00,1489671120886317058,@swtIvr Just stab my heart already lola so I don't have to feel this anguish anymore,prxdigal_soul,1,Angel,en
270,2022-02-04 18:43:28+00:00,1489670959925760001,"My heart is breaking for Amir Locke’s family and loved ones. I am thankful AG @keithellison will be involved in bringing some justice to them, but any shred of justice received will not bring back Amir. I can’t begin to imagine the pain and anguish our neighbors are experiencing. https://t.co/P2qjqxLYcV",JackieCraigMN,5,"Jackie Craig (she, her)",en
271,2022-02-04 18:42:01+00:00,1489670595705020417,"@dezentral1 State of Mind - Anguish 

Soon… https://t.co/y9GBWUO43p",josenori,2,Jsnori.eth,en
272,2022-02-04 18:41:45+00:00,1489670527161487363,"When @PMOIndia doesn't have balls to speak up or Defence Minister @rajnathsingh  is busy campaigning for his sons,poor Army Chief has to articulate his anguish at the neglect of India's defences by the Gov of India. https://t.co/0oWMFY3O4C",AbieeAz,0,"AZ ""Awaaz do hum ek hain""",en
273,2022-02-04 18:41:04+00:00,1489670358533824519,"Make failure part of your plan. 

Everyone has to deal with obstacles.

Everyone has experienced rejection. 

Embracing this as part of the learning and growth process eliminates the anguish around it. Free up your energy to reflect, strategize, and move forward.",victoriahyoung,2,Victoria Young ⚡️,en
274,2022-02-04 18:40:15+00:00,1489670150647394304,"In the news: For many patients, a return to their dentist after two years is a cause for anguish. The Washington Post reports on why so many aren't OK, emotionally or dentally. #DentistryIQ #washingtonpost
https://t.co/h2G29vQAzF https://t.co/LoHXnSMTYI",DentistryIQ,1,DentistryIQ,en
275,2022-02-04 18:37:37+00:00,1489669487548940290,The sheer anguish in @nvlevy's voice tells the whole story. This is showing unbelievable courage in telling a truth that should be obvious to all. https://t.co/l7dYJG3kMg,anildash,90,anildash,en
276,2022-02-04 18:34:30+00:00,1489668702626672640,"Catching Romance 
 
 Empathy is habitually unclear.
 Karma can be ambiguous.
 Drained of verve, but eternity.
 Enthralled by anguish.",LovePoemsOne,2,Love Poems,en
277,2022-02-04 18:33:34+00:00,1489668470748987400,@OccupyDemocrats HAHA oh my. So we are so polarized in society that the mere presence of the other side causes us anguish and creates a meltdown. It's pathetic that this action is going to gain praise. Can we not tolerate the other side anymore?,Brandon30702248,1,Brandon,en
278,2022-02-04 18:32:34+00:00,1489668219845545987,Call me the Lady of Nightmares &amp; Anguish 😈 I pity the fools who try me. My condolences to those who are friends with me xD https://t.co/x3GERxQrdl,MoxyDumpling,1,MoxyDumpling,en
279,2022-02-04 18:30:32+00:00,1489667707356127234,@starlitkam Lady of Nightmares &amp; anguish 😈🌑 lol,MoxyDumpling,1,MoxyDumpling,en
280,2022-02-04 18:29:26+00:00,1489667428699230214,"— 100’s of titles have been yanked from shelves in Texas, where lawmakers have made a list of nearly 1,000 books that “might make students feel discomfort, guilt, anguish, or any other form of psychological distress because of their race or sex” - https://t.co/RTQll63yWd",NickLongo,0,Nick Longo 👁‍🗨,en
281,2022-02-04 18:27:59+00:00,1489667065841852416,What do you do when you feel tired of existing and an enormous anguish of the future?,TatsuDragunov,1,Danyboy,en
282,2022-02-04 18:27:51+00:00,1489667029414068234,"@precinctkey i never thought he was evil per se, because he definitely tries to help angela and eddie. but he KILLED HIS WIFE in a fit of anguish. it may have been a mercy killing but it still wasnt right. pyramid head exists for a reason guys!!",cesium_v,0,cesium v,en
283,2022-02-04 18:27:34+00:00,1489666960082280455,@joshuacharles__ The mental anguish this woman must be in.,Sir_Eclectic,2,Charming LeBeau,en
284,2022-02-04 18:27:04+00:00,1489666833951203328,when you gaze into my eyes do you see my pain? my anguish? my loss and regret? no... you only see me how you want to see me... https://t.co/PekAA1oMGT,ChiseSimp,1,"Dr. Kadafi, PhD 🍄",en
285,2022-02-04 18:24:45+00:00,1489666249235873798,"@rophnode It killed UKs moral compass, and ruined integrity, it caused anguish and depression, people scared, lost directions and our international reputation is in the bin. We face mass poverty and further degradation of our social safety net and fabric. What is there to enjoy excuseme?",MumHomeless,1,HillingdonHomelessMum,en
286,2022-02-04 18:20:55+00:00,1489665287402233860,"We don't know if Lola took the stuff from Maya's house. Do you think so? 'Cause she would have taken their daughter (the plant), god 🥺
Honestly, this season is a mix of emotion, that we ended up feeling all the anguish they feel 😩 #skamfrance 🧘🏾‍♀️",PortalLamifex,50,Portal Lamifex🤘🏼,en
287,2022-02-04 18:20:05+00:00,1489665075191246849,"The fact that this is surprising to libs at this point causes me more anguish than whatever the fuck the RNC is doing. I don't want bipartisanship, I want to defeat right wingers. Grow the fuck up. https://t.co/0F16DMswyO",formerly_james,1,Formerly James,en
288,2022-02-04 18:18:21+00:00,1489664639235510275,@BetterUp Anyone who’s experienced mental anguish or pain can speak to it. And I don’t get all of this hatred for Harry because he wants to talk about what he’s experienced you don’t have to listen but to listen just to hate - that speaks to your mental state and not positively.,HearJoJo,0,JoJo Love,en
289,2022-02-04 18:18:01+00:00,1489664554879660040,Having to work today is a ho move bahah it's colder that 50 at work on top of that and we can turn the heat on.,LeydiAnguish,0,Leydi Anguish,en
290,2022-02-04 18:17:55+00:00,1489664530158211076,She was carrying such profound anguish... It is my duty to rectify the Kirijo Group's past sins.,mitsuru_engbot,0,Mitsuru Kirijo,en
